tokenID,name,file_name,description,attributes[Rarity]
201,Pod #201,201.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
202,Pod #202,202.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
203,Pod #203,203.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
204,Pod #204,204.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
205,Pod #205,205.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
206,Pod #206,206.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
207,Pod #207,207.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
208,Pod #208,208.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
209,Pod #209,209.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
210,Pod #210,210.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
211,Pod #211,211.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
212,Pod #212,212.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
213,Pod #213,213.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
214,Pod #214,214.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
215,Pod #215,215.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
216,Pod #216,216.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
217,Pod #217,217.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
218,Pod #218,218.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
219,Pod #219,219.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
220,Pod #220,220.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
221,Pod #221,221.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
222,Pod #222,222.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
223,Pod #223,223.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
224,Pod #224,224.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
225,Pod #225,225.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
226,Pod #226,226.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
227,Pod #227,227.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
228,Pod #228,228.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
229,Pod #229,229.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
230,Pod #230,230.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
231,Pod #231,231.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
232,Pod #232,232.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
233,Pod #233,233.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
234,Pod #234,234.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
235,Pod #235,235.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
236,Pod #236,236.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
237,Pod #237,237.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
238,Pod #238,238.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
239,Pod #239,239.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
240,Pod #240,240.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
241,Pod #241,241.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
242,Pod #242,242.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
243,Pod #243,243.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
244,Pod #244,244.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
245,Pod #245,245.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
246,Pod #246,246.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
247,Pod #247,247.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
248,Pod #248,248.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
249,Pod #249,249.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
250,Pod #250,250.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
251,Pod #251,251.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
252,Pod #252,252.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
253,Pod #253,253.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
254,Pod #254,254.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
255,Pod #255,255.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
256,Pod #256,256.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
257,Pod #257,257.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
